WEEK,SALES,PRICE
1,107.804,1.60
2,112.659,1.67
3,149.850,1.51
4,160.922,1.51
5,91.963,1.63
6,167.646,1.44
7,121.756,1.55
8,164.520,1.41
9,160.345,1.38
10,142.767,1.56
11,133.273,1.41
12,198.859,1.41
13,406.204,0.99
14,455.209,0.87
15,295.649,1.07
16,182.941,1.26
17,233.646,1.33
18,142.402,1.45
19,152.546,1.56
20,95.459,1.64
21,128.908,1.59
22,123.375,1.62
23,91.418,1.78
24,112.252,1.66
25,98.486,1.75
26,118.560,1.67
27,130.683,1.47
28,115.640,1.60
29,243.648,1.17
30,151.687,1.59
31,72.280,1.85
32,69.169,1.86
33,79.376,1.77
34,47.793,1.99
35,117.011,1.68
36,73.785,1.81
37,89.057,1.83
38,108.281,1.77
39,109.126,1.77
40,108.431,1.66
41,100.810,1.86
42,77.133,1.92
43,112.610,1.78
44,90.371,1.75
45,102.863,1.74
46,67.691,1.90
47,103.582,1.78
48,121.354,1.71
49,73.240,1.85
50,66.542,1.77
51,168.915,1.51
52,145.121,1.52
53,113.315,1.63
54,89.323,1.75
55,111.725,1.83
56,106.021,1.75
57,128.792,1.66
58,124.011,1.68
59,154.573,1.58
60,152.602,1.53
61,163.358,1.56
62,110.221,1.67
63,166.579,1.63
64,150.919,1.67
65,287.748,1.33
66,344.638,1.19
67,337.412,1.30
68,265.181,1.43
69,171.766,1.44
70,131.111,1.52
71,138.063,1.70
72,101.081,1.85
73,118.796,1.64
74,116.225,1.55
75,174.716,1.49
76,121.088,1.79
77,96.235,1.62
78,101.108,1.77
79,109.139,1.67
80,93.547,1.74
81,89.157,1.63
82,107.298,1.51
83,212.484,1.33
84,251.153,1.22
85,150.434,1.45
86,93.155,1.74
87,136.291,1.55
88,82.837,1.73
89,83.755,1.68
90,79.190,1.78
91,111.439,1.49
92,105.064,1.75
93,82.031,1.71
94,84.667,1.78
95,143.823,1.56
96,126.151,1.62
97,92.698,1.70
98,59.403,1.79
99,85.938,1.90
100,87.501,1.49
101,63.456,1.77
102,91.434,1.68
103,111.933,1.75
104,98.116,1.63
