MONTH,SALES
2011-01,572
2011-02,407
2011-03,313
2011-04,203
2011-05,147
2011-06,221
2011-07,417
2011-08,704
2011-09,880
2011-10,1075
2011-11,1171
2011-12,1039
2012-01,755
2012-02,492
2012-03,340
2012-04,309
2012-05,293
2012-06,386
2012-07,608
2012-08,645
2012-09,1159
2012-10,1253
2012-11,1573
2012-12,793
2013-01,882
2013-02,428
2013-03,456
2013-04,347
2013-05,314
2013-06,394
2013-07,509
2013-08,874
2013-09,1439
2013-10,1734
2013-11,2122
2013-12,1366
2014-01,1372
2014-02,960
2014-03,923
2014-04,549
2014-05,636
2014-06,567
2014-07,918
2014-08,1057
2014-09,1943
2014-10,2250
2014-11,2260
2014-12,1869
2015-01,1880
2015-02,1545
2015-03,1121
2015-04,798
2015-05,806
2015-06,790
2015-07,963
2015-08,1404
2015-09,1864
2015-10,2498
2015-11,2668
2015-12,2678
2016-01,2449
2016-02,1496
2016-03,1118
2016-04,1383
2016-05,784
2016-06,1048
2016-07,1360
2016-08,1591
2016-09,2879
2016-10,3169
2016-11,3460
2016-12,2587
